,kep,datetime
48,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034251124982097224; ey: -0.19704529816581892; hx: 0.6745075015917722; hy: -0.0011712566250878147; lv: 460.93588616552665;}, attitude=org.orekit.attitudes.Attitude@3291d9c2, mass=625.0, additional={}}",2020-01-01 00:49:00
49,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03424135734881965; ey: -0.19704699519803281; hx: 0.674507459695285; hy: -0.0011951597981466932; lv: 463.4547064883258;}, attitude=org.orekit.attitudes.Attitude@6cfd08e9, mass=625.0, additional={}}",2020-01-01 00:50:00
50,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03423158963147701; ey: -0.19704869174610637; hx: 0.674507416951715; hy: -0.0012190629697603158; lv: 465.977010884154;}, attitude=org.orekit.attitudes.Attitude@54ca9420, mass=625.0, additional={}}",2020-01-01 00:51:00
51,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034221821830093306; ey: -0.1970503878100354; hx: 0.6745073733610621; hy: -0.0012429661398986591; lv: 468.5052546134199;}, attitude=org.orekit.attitudes.Attitude@4ea48b2e, mass=625.0, additional={}}",2020-01-01 00:52:00
52,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03421205394469253; ey: -0.19705208338981575; hx: 0.6745073289233265; hy: -0.0012668693085316999; lv: 471.04191304105603;}, attitude=org.orekit.attitudes.Attitude@72c704f1, mass=625.0, additional={}}",2020-01-01 00:53:00
53,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03420228597529868; ey: -0.19705377848544325; hx: 0.6745072836385082; hy: -0.001290772475629415; lv: 473.5894899945656;}, attitude=org.orekit.attitudes.Attitude@76f9e000, mass=625.0, additional={}}",2020-01-01 00:54:00
54,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03419251792193574; ey: -0.19705547309691376; hx: 0.6745072375066072; hy: -0.0013146756411617807; lv: 476.15052619227816;}, attitude=org.orekit.attitudes.Attitude@7612116b, mass=625.0, additional={}}",2020-01-01 00:55:00
55,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034182749784627715; ey: -0.1970571672242231; hx: 0.6745071905276236; hy: -0.0013385788050987743; lv: 478.72760775577296;}, attitude=org.orekit.attitudes.Attitude@1c05097c, mass=625.0, additional={}}",2020-01-01 00:56:00
56,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.0341729815633986; ey: -0.1970588608673671; hx: 0.6745071427015574; hy: -0.0013624819674103719; lv: 481.3233748149254;}, attitude=org.orekit.attitudes.Attitude@562f6681, mass=625.0, additional={}}",2020-01-01 00:57:00
57,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034163213258272374; ey: -0.19706055402634162; hx: 0.6745070940284088; hy: -0.0013863851280665506; lv: 483.9405302067044;}, attitude=org.orekit.attitudes.Attitude@6f6f65a4, mass=625.0, additional={}}",2020-01-01 00:58:00
58,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03415344486927305; ey: -0.19706224670114253; hx: 0.6745070445081777; hy: -0.001410288287037287; lv: 486.5818482592812;}, attitude=org.orekit.attitudes.Attitude@990b86b, mass=625.0, additional={}}",2020-01-01 00:59:00
59,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03414367639642461; ey: -0.19706393889176566; hx: 0.6745069941408641; hy: -0.0014341914442925576; lv: 489.2501836407154;}, attitude=org.orekit.attitudes.Attitude@3dea1ecc, mass=625.0, additional={}}",2020-01-01 01:00:00
60,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034133907839751065; ey: -0.19706563059820684; hx: 0.6745069429264683; hy: -0.0014580945998023396; lv: 491.9484802358312;}, attitude=org.orekit.attitudes.Attitude@105c6c9e, mass=625.0, additional={}}",2020-01-01 01:01:00
61,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.0341241391992764; ey: -0.1970673218204619; hx: 0.6745068908649902; hy: -0.0014819977535366093; lv: 494.67977999512095;}, attitude=org.orekit.attitudes.Attitude@40a7974, mass=625.0, additional={}}",2020-01-01 01:02:00
62,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034114370475024615; ey: -0.19706901255852674; hx: 0.6745068379564298; hy: -0.0015059009054653434; lv: 497.4472316746976;}, attitude=org.orekit.attitudes.Attitude@8d5da7e, mass=625.0, additional={}}",2020-01-01 01:03:00
63,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.0341046016670197; ey: -0.19707070281239716; hx: 0.6745067842007874; hy: -0.0015298040555585188; lv: 500.2540993553444;}, attitude=org.orekit.attitudes.Attitude@65a4b9d6, mass=625.0, additional={}}",2020-01-01 01:04:00
64,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03409483277528566; ey: -0.19707239258206904; hx: 0.6745067295980628; hy: -0.0015537072037861122; lv: 503.10377059028593;}, attitude=org.orekit.attitudes.Attitude@16ef1160, mass=625.0, additional={}}",2020-01-01 01:05:00
65,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034085063799846486; ey: -0.19707408186753825; hx: 0.6745066741482562; hy: -0.0015776103501181002; lv: 505.99976398390737;}, attitude=org.orekit.attitudes.Attitude@41f90b10, mass=625.0, additional={}}",2020-01-01 01:06:00
66,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03407529474072618; ey: -0.1970757706688006; hx: 0.6745066178513676; hy: -0.0016015134945244595; lv: 508.94573594554805;}, attitude=org.orekit.attitudes.Attitude@67593f7b, mass=625.0, additional={}}",2020-01-01 01:07:00
67,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03406552559794874; ey: -0.197077458985852; hx: 0.6745065607073971; hy: -0.0016254166369751668; lv: 511.9454862917882;}, attitude=org.orekit.attitudes.Attitude@2773504f, mass=625.0, additional={}}",2020-01-01 01:08:00
68,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034055756371538154; ey: -0.19707914681868824; hx: 0.6745065027163448; hy: -0.0016493197774401988; lv: 515.0029622852596;}, attitude=org.orekit.attitudes.Attitude@497921d0, mass=625.0, additional={}}",2020-01-01 01:09:00
69,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03404598706151842; ey: -0.19708083416730524; hx: 0.6745064438782107; hy: -0.0016732229158895324; lv: 518.122260595871;}, attitude=org.orekit.attitudes.Attitude@40d10264, mass=625.0, additional={}}",2020-01-01 01:10:00
70,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.034036217667913544; ey: -0.19708252103169882; hx: 0.6745063841929949; hy: -0.0016971260522931444; lv: 521.3076265495063;}, attitude=org.orekit.attitudes.Attitude@6edd4fe2, mass=625.0, additional={}}",2020-01-01 01:11:00
71,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03402644819074752; ey: -0.19708420741186483; hx: 0.6745063236606975; hy: -0.0017210291866210114; lv: 524.5634498882248;}, attitude=org.orekit.attitudes.Attitude@53918b5e, mass=625.0, additional={}}",2020-01-01 01:12:00
72,"SpacecraftState{orbit=equinoctial parameters: {a: 7000000.0; ex: 0.03401667863004435; ey: -0.19708589330779916; hx: 0.6745062622813185; hy: -0.00174493231884311; lv: 527.8942561041572;}, attitude=org.orekit.attitudes.Attitude@5366575d, mass=625.0, additional={}}",2020-01-01 01:13:00
