LEO ephemeris
Frame : TOD/1996 without EOP
Period : 2020-01-01T00:00:00.000 - 2020-01-01T12:00:00.000
                   date;Semi-Major Axis (km);Eccentricity (-);Inclination (Degrees);RA of Asc· Node (Degrees);Argument of Perigee (Degrees);True Anomaly (Degrees)
2020/01/01 01:37:00.000;     7009.23502;     0.00164264;       97.99645;       90.06771;      359.49447;      359.53373
2020/01/01 01:38:00.000;     7009.19819;     0.00163760;       97.99642;       90.06771;        2.53662;        0.20235
2020/01/01 01:39:00.000;     7009.00479;     0.00160924;       97.99648;       90.06772;        5.54323;        0.90648
2020/01/01 01:40:00.000;     7008.65900;     0.00155816;       97.99663;       90.06774;        8.45401;        1.70636
2020/01/01 01:41:00.000;     7008.16875;     0.00148551;       97.99685;       90.06779;       11.20034;        2.67055
2020/01/01 01:42:00.000;     7007.54329;     0.00139270;       97.99715;       90.06788;       13.69610;        3.88515
2020/01/01 01:43:00.000;     7006.79313;     0.00128145;       97.99753;       90.06801;       15.81634;        5.47504
2020/01/01 01:44:00.000;     7005.93096;     0.00115403;       97.99796;       90.06820;       17.36840;        7.63285
2020/01/01 01:45:00.000;     7004.97077;     0.00101342;       97.99846;       90.06845;       18.03688;       10.67393
2020/01/01 01:46:00.000;     7003.92716;     0.00086371;       97.99899;       90.06877;       17.26449;       15.15554
2020/01/01 01:47:00.000;     7002.81672;     0.00071163;       97.99956;       90.06916;       14.01361;       22.11525
2020/01/01 01:48:00.000;     7001.65910;     0.00056969;       98.00015;       90.06963;        6.36843;       33.46885
2020/01/01 01:49:00.000;     7000.47469;     0.00046220;       98.00077;       90.07018;      351.48313;       52.06211
2020/01/01 01:50:00.000;     6999.28261;     0.00042802;       98.00139;       90.07082;      329.19104;       78.06169
2020/01/01 01:51:00.000;     6998.10197;     0.00048903;       98.00201;       90.07154;      308.06202;      102.89768
2020/01/01 01:52:00.000;     6996.95275;     0.00061911;       98.00261;       90.07234;      295.01312;      119.65305
2020/01/01 01:53:00.000;     6995.85490;     0.00078298;       98.00318;       90.07322;      288.66235;      129.70973
2020/01/01 01:54:00.000;     6994.82713;     0.00096002;       98.00372;       90.07417;      286.25664;      135.82079
2020/01/01 01:55:00.000;     6993.88602;     0.00113957;       98.00422;       90.07519;      286.10837;      139.67383
2020/01/01 01:56:00.000;     6993.04707;     0.00131552;       98.00466;       90.07628;      287.32149;      142.16491
2020/01/01 01:57:00.000;     6992.32500;     0.00148370;       98.00504;       90.07743;      289.40861;      143.78139
2020/01/01 01:58:00.000;     6991.73179;     0.00164107;       98.00536;       90.07863;      292.08535;      144.80768
2020/01/01 01:59:00.000;     6991.27671;     0.00178541;       98.00561;       90.07988;      295.17896;      145.41650
2020/01/01 02:00:00.000;     6990.96768;     0.00191482;       98.00578;       90.08118;      298.58136;      145.71596
2020/01/01 02:01:00.000;     6990.80967;     0.00202787;       98.00587;       90.08250;      302.21760;      145.78099
2020/01/01 02:02:00.000;     6990.80430;     0.00212356;       98.00587;       90.08385;      306.03494;      145.66437
2020/01/01 02:03:00.000;     6990.95183;     0.00220113;       98.00579;       90.08520;      309.99829;      145.40118
2020/01/01 02:04:00.000;     6991.25010;     0.00226006;       98.00562;       90.08655;      314.08043;      145.01865
2020/01/01 02:05:00.000;     6991.69391;     0.00230018;       98.00536;       90.08788;      318.25932;      144.53886
2020/01/01 02:06:00.000;     6992.27638;     0.00232153;       98.00503;       90.08917;      322.51841;      143.97836
2020/01/01 02:07:00.000;     6992.98838;     0.00232437;       98.00461;       90.09043;      326.84208;      143.35278
2020/01/01 02:08:00.000;     6993.81786;     0.00230927;       98.00413;       90.09162;      331.21400;      142.67850
2020/01/01 02:09:00.000;     6994.75060;     0.00227706;       98.00359;       90.09276;      335.61776;      141.97192
2020/01/01 02:10:00.000;     6995.77043;     0.00222881;       98.00300;       90.09381;      340.03610;      141.25035
2020/01/01 02:11:00.000;     6996.86025;     0.00216574;       98.00237;       90.09479;      344.45113;      140.53170
2020/01/01 02:12:00.000;     6998.00257;     0.00208911;       98.00172;       90.09568;      348.84227;      139.83655
2020/01/01 02:13:00.000;     6999.17877;     0.00200028;       98.00104;       90.09647;      353.18261;      139.19186
2020/01/01 02:14:00.000;     7000.36991;     0.00190072;       98.00037;       90.09717;      357.43886;      138.63093
2020/01/01 02:15:00.000;     7001.55657;     0.00179199;       97.99970;       90.09778;        1.56674;      138.19808
2020/01/01 02:16:00.000;     7002.71903;     0.00167576;       97.99905;       90.09830;        5.50741;      137.95216
2020/01/01 02:17:00.000;     7003.83837;     0.00155379;       97.99842;       90.09874;        9.18449;      137.96959
2020/01/01 02:18:00.000;     7004.89611;     0.00142795;       97.99782;       90.09911;       12.49237;      138.35601
2020/01/01 02:19:00.000;     7005.87408;     0.00130046;       97.99726;       90.09940;       15.28585;      139.25663
2020/01/01 02:20:00.000;     7006.75574;     0.00117385;       97.99675;       90.09962;       17.36979;      140.86662
2020/01/01 02:21:00.000;     7007.52660;     0.00105121;       97.99630;       90.09979;       18.48317;      143.44703
2020/01/01 02:22:00.000;     7008.17428;     0.00093647;       97.99591;       90.09990;       18.28786;      147.33601
2020/01/01 02:23:00.000;     7008.68819;     0.00083493;       97.99561;       90.09997;       16.38608;      152.93137
2020/01/01 02:24:00.000;     7009.05849;     0.00075380;       97.99539;       90.10001;       12.43556;      160.57541
2020/01/01 02:25:00.000;     7009.27689;     0.00070174;       97.99526;       90.10002;        6.45410;      170.25033
2020/01/01 02:26:00.000;     7009.33721;     0.00068651;       97.99521;       90.10002;      359.20672;      181.19115
2020/01/01 02:27:00.000;     7009.23757;     0.00071078;       97.99523;       90.10002;      352.14582;      191.94550
2020/01/01 02:28:00.000;     7008.98215;     0.00077021;       97.99534;       90.10003;      346.60180;      201.18299
2020/01/01 02:29:00.000;     7008.57667;     0.00085674;       97.99552;       90.10007;      343.13379;      208.34452
2020/01/01 02:30:00.000;     7008.02639;     0.00096235;       97.99579;       90.10013;      341.66333;      213.50857
2020/01/01 02:31:00.000;     7007.34021;     0.00108023;       97.99614;       90.10024;      341.83479;      217.03079
2020/01/01 02:32:00.000;     7006.53139;     0.00120503;       97.99655;       90.10040;      343.24873;      219.31066
2020/01/01 02:33:00.000;     7005.61531;     0.00133277;       97.99703;       90.10062;      345.56855;      220.68479
2020/01/01 02:34:00.000;     7004.60868;     0.00146044;       97.99757;       90.10091;      348.53957;      221.40789
2020/01/01 02:35:00.000;     7003.52913;     0.00158562;       97.99816;       90.10128;      351.97672;      221.66506
2020/01/01 02:36:00.000;     7002.39584;     0.00170615;       97.99878;       90.10173;      355.74354;      221.59276
2020/01/01 02:37:00.000;     7001.22832;     0.00182020;       97.99944;       90.10227;      359.73948;      221.29161
2020/01/01 02:38:00.000;     7000.04425;     0.00192628;       98.00011;       90.10290;        3.89615;      220.83000
2020/01/01 02:39:00.000;     6998.86085;     0.00202298;       98.00079;       90.10362;        8.16698;      220.25452
2020/01/01 02:40:00.000;     6997.69644;     0.00210881;       98.00147;       90.10445;       12.51464;      219.60254
2020/01/01 02:41:00.000;     6996.56933;     0.00218236;       98.00213;       90.10537;       16.90934;      218.90388
2020/01/01 02:42:00.000;     6995.49798;     0.00224222;       98.00277;       90.10638;       21.32663;      218.18300
2020/01/01 02:43:00.000;     6994.50132;     0.00228697;       98.00336;       90.10749;       25.74291;      217.46353
2020/01/01 02:44:00.000;     6993.59656;     0.00231545;       98.00391;       90.10867;       30.13752;      216.76616
2020/01/01 02:45:00.000;     6992.79852;     0.00232675;       98.00439;       90.10994;       34.49413;      216.10723
2020/01/01 02:46:00.000;     6992.12029;     0.00232014;       98.00481;       90.11127;       38.79766;      215.50185
2020/01/01 02:47:00.000;     6991.57285;     0.00229515;       98.00515;       90.11265;       43.03265;      214.96550
2020/01/01 02:48:00.000;     6991.16427;     0.00225161;       98.00540;       90.11407;       47.18483;      214.51247
2020/01/01 02:49:00.000;     6990.90017;     0.00218955;       98.00556;       90.11550;       51.24002;      214.15694
2020/01/01 02:50:00.000;     6990.78482;     0.00210914;       98.00563;       90.11695;       55.17977;      213.91742
2020/01/01 02:51:00.000;     6990.82146;     0.00201071;       98.00561;       90.11840;       58.97627;      213.82168
2020/01/01 02:52:00.000;     6991.01133;     0.00189487;       98.00549;       90.11984;       62.58827;      213.91101
2020/01/01 02:53:00.000;     6991.35213;     0.00176274;       98.00529;       90.12125;       65.95895;      214.24223
2020/01/01 02:54:00.000;     6991.83787;     0.00161590;       98.00500;       90.12262;       69.01147;      214.89220
2020/01/01 02:55:00.000;     6992.46097;     0.00145617;       98.00463;       90.12393;       71.62904;      215.97770
2020/01/01 02:56:00.000;     6993.21210;     0.00128591;       98.00419;       90.12518;       73.62057;      217.68981
2020/01/01 02:57:00.000;     6994.07746;     0.00110850;       98.00369;       90.12637;       74.67585;      220.33877
2020/01/01 02:58:00.000;     6995.03953;     0.00092862;       98.00313;       90.12748;       74.27041;      224.44902
2020/01/01 02:59:00.000;     6996.08051;     0.00075285;       98.00253;       90.12852;       71.44327;      230.98154
2020/01/01 03:00:00.000;     6997.18418;     0.00059233;       98.00189;       90.12947;       64.37317;      241.75757
2020/01/01 03:01:00.000;     6998.33528;     0.00046898;       98.00122;       90.13033;       50.14426;      259.69296
2020/01/01 03:02:00.000;     6999.51745;     0.00041972;       98.00054;       90.13110;       27.92213;      285.62207
2020/01/01 03:03:00.000;     7000.71201;     0.00046681;       97.99986;       90.13178;        5.95592;      311.29577
2020/01/01 03:04:00.000;     7001.89856;     0.00058255;       97.99920;       90.13236;      352.10653;      328.85311
