,kep
76,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 285.2784936295765;}, attitude=org.orekit.attitudes.Attitude@5683f9f3, mass=1000.0, additional={}}"
77,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 288.9879188413062;}, attitude=org.orekit.attitudes.Attitude@391828c3, mass=1000.0, additional={}}"
78,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 292.69807024123344;}, attitude=org.orekit.attitudes.Attitude@63af8c0d, mass=1000.0, additional={}}"
79,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 296.40893034349716;}, attitude=org.orekit.attitudes.Attitude@214e30fc, mass=1000.0, additional={}}"
80,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 300.12047867099875;}, attitude=org.orekit.attitudes.Attitude@68cb1947, mass=1000.0, additional={}}"
81,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 303.83269183775303;}, attitude=org.orekit.attitudes.Attitude@106d6aad, mass=1000.0, additional={}}"
82,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 307.54554364391583;}, attitude=org.orekit.attitudes.Attitude@fbd4349, mass=1000.0, additional={}}"
83,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 311.2590051831384;}, attitude=org.orekit.attitudes.Attitude@5f245b92, mass=1000.0, additional={}}"
84,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 314.97304496183716;}, attitude=org.orekit.attitudes.Attitude@6f957010, mass=1000.0, additional={}}"
85,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 318.68762902990943;}, attitude=org.orekit.attitudes.Attitude@14d6574d, mass=1000.0, additional={}}"
86,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 322.40272112236516;}, attitude=org.orekit.attitudes.Attitude@7194e995, mass=1000.0, additional={}}"
87,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 326.1182828112904;}, attitude=org.orekit.attitudes.Attitude@c11d4fe, mass=1000.0, additional={}}"
88,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 329.83427366750124;}, attitude=org.orekit.attitudes.Attitude@4840309c, mass=1000.0, additional={}}"
89,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 333.5506514311988;}, attitude=org.orekit.attitudes.Attitude@6e0a6ae6, mass=1000.0, additional={}}"
90,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 337.2673721908841;}, attitude=org.orekit.attitudes.Attitude@3804fef3, mass=1000.0, additional={}}"
91,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 340.98439056974934;}, attitude=org.orekit.attitudes.Attitude@3a307b29, mass=1000.0, additional={}}"
92,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 344.7016599187192;}, attitude=org.orekit.attitudes.Attitude@73bd6823, mass=1000.0, additional={}}"
93,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 348.4191325152807;}, attitude=org.orekit.attitudes.Attitude@4edd61e8, mass=1000.0, additional={}}"
94,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 352.136759767206;}, attitude=org.orekit.attitudes.Attitude@51b1fda6, mass=1000.0, additional={}}"
